Model: DeepFace_euclidean_ssd_align_True_13, Target: tak, Image Count: 3
Model: DeepID_euclidean_opencv_align_False_3, Target: deffcon, Image Count: 0
Model: DeepID_euclidean_opencv_align_False_3, Target: park, Image Count: 0
Model: DeepID_euclidean_opencv_align_False_3, Target: you, Image Count: 0
Model: DeepID_euclidean_opencv_align_False_3, Target: tak, Image Count: 3
Model: ArcFace_euclidean_mtcnn_align_False_26, Target: deffcon, Image Count: 1
Model: ArcFace_euclidean_mtcnn_align_False_26, Target: park, Image Count: 8
Model: ArcFace_euclidean_mtcnn_align_False_26, Target: you, Image Count: 16
Model: ArcFace_euclidean_mtcnn_align_False_26, Target: tak, Image Count: 1
Model: Dlib_euclidean_l2_dlib_align_False_75, Target: deffcon, Image Count: 14
Model: Dlib_euclidean_l2_dlib_align_False_75, Target: park, Image Count: 21
Model: Dlib_euclidean_l2_dlib_align_False_75, Target: you, Image Count: 21
Model: Dlib_euclidean_l2_dlib_align_False_75, Target: tak, Image Count: 19
Model: SFace_cosine_opencv_align_False_1, Target: deffcon, Image Count: 0
Model: SFace_cosine_opencv_align_False_1, Target: park, Image Count: 0
Model: SFace_cosine_opencv_align_False_1, Target: you, Image Count: 0
Model: SFace_cosine_opencv_align_False_1, Target: tak, Image Count: 1
Model: ArcFace_cosine_retinaface_align_False_34, Target: deffcon, Image Count: 6
Model: ArcFace_cosine_retinaface_align_False_34, Target: park, Image Count: 7
Model: ArcFace_cosine_retinaface_align_False_34, Target: you, Image Count: 14
Model: ArcFace_cosine_retinaface_align_False_34, Target: tak, Image Count: 7
Model: OpenFace_euclidean_mediapipe_align_True_0, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_True_0, Target: park, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_True_0, Target: you, Image Count: 0
Model: OpenFace_euclidean_mediapipe_align_True_0, Target: tak, Image Count: 0
Model: SFace_euclidean_l2_retinaface_align_True_12, Target: deffcon, Image Count: 0
Model: SFace_euclidean_l2_retinaface_align_True_12, Target: park, Image Count: 3
Model: SFace_euclidean_l2_retinaface_align_True_12, Target: you, Image Count: 9
Model: SFace_euclidean_l2_retinaface_align_True_12, Target: tak, Image Count: 0
Model: DeepFace_euclidean_retinaface_align_False_20, Target: deffcon, Image Count: 2
Model: DeepFace_euclidean_retinaface_align_False_20, Target: park, Image Count: 6
Model: DeepFace_euclidean_retinaface_align_False_20, Target: you, Image Count: 7
Model: DeepFace_euclidean_retinaface_align_False_20, Target: tak, Image Count: 5
Model: DeepID_euclidean_l2_mtcnn_align_True_3, Target: deffcon, Image Count: 0
Model: DeepID_euclidean_l2_mtcnn_align_True_3, Target: park, Image Count: 3
Model: DeepID_euclidean_l2_mtcnn_align_True_3, Target: you, Image Count: 0
Model: DeepID_euclidean_l2_mtcnn_align_True_3, Target: tak, Image Count: 0
Model: FaceNet_euclidean_l2_opencv_align_False_0, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_l2_opencv_align_False_0, Target: park, Image Count: 0
Model: FaceNet_euclidean_l2_opencv_align_False_0, Target: you, Image Count: 0
Model: FaceNet_euclidean_l2_opencv_align_False_0, Target: tak, Image Count: 0
Model: OpenFace_cosine_opencv_align_True_1, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_opencv_align_True_1, Target: park, Image Count: 0
Model: OpenFace_cosine_opencv_align_True_1, Target: you, Image Count: 0
Model: OpenFace_cosine_opencv_align_True_1, Target: tak, Image Count: 1
Model: OpenFace_euclidean_l2_opencv_align_False_9, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_opencv_align_False_9, Target: park, Image Count: 5
Model: OpenFace_euclidean_l2_opencv_align_False_9, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_opencv_align_False_9, Target: tak, Image Count: 4
Model: VGG-Face_euclidean_l2_mtcnn_align_False_48, Target: deffcon, Image Count: 5
Model: VGG-Face_euclidean_l2_mtcnn_align_False_48, Target: park, Image Count: 9
Model: VGG-Face_euclidean_l2_mtcnn_align_False_48, Target: you, Image Count: 19
Model: VGG-Face_euclidean_l2_mtcnn_align_False_48, Target: tak, Image Count: 15
Model: DeepID_euclidean_l2_mtcnn_align_False_2, Target: deffcon, Image Count: 0
Model: DeepID_euclidean_l2_mtcnn_align_False_2, Target: park, Image Count: 2
Model: DeepID_euclidean_l2_mtcnn_align_False_2, Target: you, Image Count: 0
Model: DeepID_euclidean_l2_mtcnn_align_False_2, Target: tak, Image Count: 0
Model: ArcFace_euclidean_l2_mtcnn_align_False_25, Target: deffcon, Image Count: 3
Model: ArcFace_euclidean_l2_mtcnn_align_False_25, Target: park, Image Count: 6
Model: ArcFace_euclidean_l2_mtcnn_align_False_25, Target: you, Image Count: 15
Model: ArcFace_euclidean_l2_mtcnn_align_False_25, Target: tak, Image Count: 1
Model: VGG-Face_cosine_ssd_align_False_36, Target: deffcon, Image Count: 3
Model: VGG-Face_cosine_ssd_align_False_36, Target: park, Image Count: 8
Model: VGG-Face_cosine_ssd_align_False_36, Target: you, Image Count: 15
Model: VGG-Face_cosine_ssd_align_False_36, Target: tak, Image Count: 10
Model: VGG-Face_euclidean_ssd_align_False_37, Target: deffcon, Image Count: 3
Model: VGG-Face_euclidean_ssd_align_False_37, Target: park, Image Count: 8
Model: VGG-Face_euclidean_ssd_align_False_37, Target: you, Image Count: 15
Model: VGG-Face_euclidean_ssd_align_False_37, Target: tak, Image Count: 11
Model: DeepFace_euclidean_l2_opencv_align_False_4, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_l2_opencv_align_False_4, Target: park, Image Count: 3
Model: DeepFace_euclidean_l2_opencv_align_False_4, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_opencv_align_False_4, Target: tak, Image Count: 1
Model: OpenFace_euclidean_l2_retinaface_align_False_7, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_False_7, Target: park, Image Count: 6
Model: OpenFace_euclidean_l2_retinaface_align_False_7, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_retinaface_align_False_7, Target: tak, Image Count: 1
Model: VGG-Face_cosine_dlib_align_True_60, Target: deffcon, Image Count: 11
Model: VGG-Face_cosine_dlib_align_True_60, Target: park, Image Count: 13
Model: VGG-Face_cosine_dlib_align_True_60, Target: you, Image Count: 18
Model: VGG-Face_cosine_dlib_align_True_60, Target: tak, Image Count: 18
Model: SFace_euclidean_mediapipe_align_False_0, Target: deffcon, Image Count: 0
Model: SFace_euclidean_mediapipe_align_False_0, Target: park, Image Count: 0
Model: SFace_euclidean_mediapipe_align_False_0, Target: you, Image Count: 0
Model: SFace_euclidean_mediapipe_align_False_0, Target: tak, Image Count: 0
Model: VGG-Face_cosine_mtcnn_align_True_50, Target: deffcon, Image Count: 3
