Model: OpenFace_cosine_ssd_align_True, Target: tak, Image Count: 2
Model: OpenFace_euclidean_l2_mediapipe_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_True, Target: park, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_True, Target: you, Image Count: 0
Model: OpenFace_euclidean_l2_mediapipe_align_True, Target: tak, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_False, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_False, Target: park, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_False, Target: you, Image Count: 0
Model: FaceNet_euclidean_retinaface_align_False, Target: tak, Image Count: 0
Model: DeepFace_euclidean_l2_ssd_align_False, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_l2_ssd_align_False, Target: park, Image Count: 8
Model: DeepFace_euclidean_l2_ssd_align_False, Target: you, Image Count: 0
Model: DeepFace_euclidean_l2_ssd_align_False, Target: tak, Image Count: 0
Model: OpenFace_cosine_ssd_align_False, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_ssd_align_False, Target: park, Image Count: 0
Model: OpenFace_cosine_ssd_align_False, Target: you, Image Count: 0
Model: OpenFace_cosine_ssd_align_False, Target: tak, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_False, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_False, Target: park, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_False, Target: you, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_False, Target: tak, Image Count: 0
Model: OpenFace_euclidean_mtcnn_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_mtcnn_align_True, Target: park, Image Count: 4
Model: OpenFace_euclidean_mtcnn_align_True, Target: you, Image Count: 2
Model: OpenFace_euclidean_mtcnn_align_True, Target: tak, Image Count: 5
Model: VGG-Face_cosine_ssd_align_True, Target: deffcon, Image Count: 0
Model: VGG-Face_cosine_ssd_align_True, Target: park, Image Count: 6
Model: VGG-Face_cosine_ssd_align_True, Target: you, Image Count: 8
Model: VGG-Face_cosine_ssd_align_True, Target: tak, Image Count: 5
Model: DeepFace_euclidean_ssd_align_False, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_ssd_align_False, Target: park, Image Count: 10
Model: DeepFace_euclidean_ssd_align_False, Target: you, Image Count: 10
Model: DeepFace_euclidean_ssd_align_False, Target: tak, Image Count: 10
Model: FaceNet_euclidean_mtcnn_align_True, Target: deffcon, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_True, Target: park, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_True, Target: you, Image Count: 0
Model: FaceNet_euclidean_mtcnn_align_True, Target: tak, Image Count: 0
Model: VGG-Face_euclidean_l2_mediapipe_align_False, Target: deffcon, Image Count: 0
Model: VGG-Face_euclidean_l2_mediapipe_align_False, Target: park, Image Count: 0
Model: VGG-Face_euclidean_l2_mediapipe_align_False, Target: you, Image Count: 0
Model: VGG-Face_euclidean_l2_mediapipe_align_False, Target: tak, Image Count: 0
Model: DeepFace_euclidean_ssd_align_True, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_ssd_align_True, Target: park, Image Count: 4
Model: DeepFace_euclidean_ssd_align_True, Target: you, Image Count: 6
Model: DeepFace_euclidean_ssd_align_True, Target: tak, Image Count: 3
Model: OpenFace_euclidean_retinaface_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_euclidean_retinaface_align_True, Target: park, Image Count: 2
Model: OpenFace_euclidean_retinaface_align_True, Target: you, Image Count: 1
Model: OpenFace_euclidean_retinaface_align_True, Target: tak, Image Count: 1
Model: DeepFace_cosine_mediapipe_align_True, Target: deffcon, Image Count: 0
Model: DeepFace_cosine_mediapipe_align_True, Target: park, Image Count: 0
Model: DeepFace_cosine_mediapipe_align_True, Target: you, Image Count: 0
Model: DeepFace_cosine_mediapipe_align_True, Target: tak, Image Count: 0
Model: OpenFace_cosine_retinaface_align_True, Target: deffcon, Image Count: 0
Model: OpenFace_cosine_retinaface_align_True, Target: park, Image Count: 1
Model: OpenFace_cosine_retinaface_align_True, Target: you, Image Count: 0
Model: OpenFace_cosine_retinaface_align_True, Target: tak, Image Count: 0
Model: VGG-Face_euclidean_l2_dlib_align_True, Target: deffcon, Image Count: 11
Model: VGG-Face_euclidean_l2_dlib_align_True, Target: park, Image Count: 13
Model: VGG-Face_euclidean_l2_dlib_align_True, Target: you, Image Count: 19
Model: VGG-Face_euclidean_l2_dlib_align_True, Target: tak, Image Count: 18
Model: DeepFace_euclidean_mediapipe_align_False, Target: deffcon, Image Count: 0
Model: DeepFace_euclidean_mediapipe_align_False, Target: park, Image Count: 0
Model: DeepFace_euclidean_mediapipe_align_False, Target: you, Image Count: 0
